Station Name,Station ID,Latitude,Longitude
"Meisha, Shenzhen (盐田区 梅沙街道)",922,22.598902,114.313483
"Yantian, Shenzhen (盐田区 海山街道)",914,22.590807,114.262078
"Honghu, Shenzhen (罗湖区 笋岗街道)",928,22.562334,114.116872
"Pingshan, Shenzhen (坪山区 坪山街道)",919,22.690824,114.346126
"Henggang, Shenzhen (龙岗区 横岗街道)",929,22.648548,114.208946
"Mission Hills, Shenzhen; Mission Hills, Shenzhen (龙华区 观澜街道)",931,22.696848,114.04539
"Kwai Chung, Shenzhen; Kwai Chung, Shenzhen (宝安区 新安街道)",916,22.575856,113.862238
"Kwai Chung, Shenzhen; Kwai Chung, Shenzhen (大鹏新区 葵涌街道)",926,22.630626,114.423948
"Nan'aozhen, Shenzhen; Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",921,22.528186,114.496906
"Guangming, Shenzhen; Guangming, Shenzhen (光明区 光明街道)",930,22.723285,114.417292
"Songgang, Shenzhen; Songgang, Shenzhen (宝安区 松岗街道)",917,22.764405,113.848641
"Henggang, Shenzhen; Henggang, Shenzhen (龙岗区 横岗街道)",929,22.648548,114.208946
"Pingshan, Shenzhen; Pingshan, Shenzhen (坪山区 坪山街道)",919,22.690824,114.346126
"Yantian, Shenzhen; Yantian, Shenzhen (盐田区 海山街道)",914,22.590807,114.262078
"Longhua, Shenzhen; Longhua, Shenzhen (龙华区 龙华街道)",923,22.65158,114.022403
"Fuyong, Shenzhen; Fuyong, Shenzhen (宝安区 福永街道)",932,22.670922,113.823012
"Honghu, Shenzhen; Honghu, Shenzhen (罗湖区 笋岗街道)",928,22.562334,114.116872
"Liyuan, Shenzhen; Liyuan, Shenzhen (荔园)",925,22.5500005,114.0960791
"Meisha, Shenzhen; Meisha, Shenzhen (盐田区 梅沙街道)",922,22.598902,114.313483
"Nanyou, Shenzhen; Nanyou, Shenzhen (南油)",920,22.516847,113.923192
"Xi xiang, Shenzhen; Xi xiang, Shenzhen (龙岗区 龙城街道)",924,22.720358,114.247468
"OCT, Shenzhen; OCT, Shenzhen (南山区 沙河街道)",927,22.542454,113.987495
"Mission Hills, Shenzhen (龙华区 观澜街道)",931,22.696848,114.04539
"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",921,22.528186,114.496906
"Xi xiang, Shenzhen (龙岗区 龙城街道)",924,22.720358,114.247468
"OCT, Shenzhen (南山区 沙河街道)",927,22.542454,113.987495
"Kwai Chung, HongKong; Kwai Chung, HongKong (葵涌)",2561,22.3568591,114.1294899
"Songgang, Shenzhen (宝安区 松岗街道)",917,22.764405,113.848641
"Guangming, Shenzhen (光明区 光明街道)",930,22.723285,114.417292
"Liyuan, Shenzhen (荔园)",925,22.5500005,114.0960791
"Fuyong, Shenzhen (宝安区 福永街道)",932,22.670922,113.823012
"Nanyou, Shenzhen (南油)",920,22.516847,113.923192
Shenzhen (深圳),1539,22.543099,114.057868
"莲花, Shenzhen (福田区 莲花街道)",14451,22.559,114.0731
"滨海,  (深圳市滨海)",14403,22.5333,114.0233
"民治, Shenzhen (龙华区 民治街道)",14447,22.6198,114.0261
"泥岗,  (深圳市泥岗)",14405,22.5715,114.1014
"民治,  (深圳市民治)",14340,22.6198,114.0261
" Liánhuā,  (深圳市莲花)",14341,22.559,114.0731
"深南,  (深圳市深南)",14404,22.5465,114.0829
"通心岭子站,  (深圳市通心岭子站)",14214,22.5545,114.1063
"梅林子站, Shenzhen (福田区 梅林街道)",14460,22.575111,114.04378
"南科大, Shenzhen (南山区 桃源街道)",14445,22.602104,114.003722
"南园子站, Shenzhen (福田区 南园街道)",14454,22.539444,114.090277
"福保子站, Shenzhen (福田区 福保街道)",14465,22.511739,114.047791
"华富子站, Shenzhen (福田区 华富街道)",14453,22.557124,114.078188
"黄贝子站, Shenzhen (罗湖区 黄贝街道)",14458,22.580284,114.151383
"清水河子站, Shenzhen (罗湖区 清水河街道)",14449,22.590554,114.090278
"沙头子站, Shenzhen (福田区 沙头街道)",14442,22.532221,114.037499
"园岭子站, Shenzhen (福田区 园岭街道)",14440,22.558586,114.103675
"香蜜子站, Shenzhen (福田区 香蜜湖街道)",14435,22.546761,114.022805
